# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-02-11 13:56:55 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01622000 NORTH RIVER NEAR BURKETOWN, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01622000
#            TS   parameter     statistic     Description
#        144616       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	144616_00060_00003	144616_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01622000	1927-01-01	684	A
USGS	01622000	1927-01-02	610	A
USGS	01622000	1927-01-03	573	A
USGS	01622000	1927-01-04	492	A
USGS	01622000	1927-01-05	455	A
USGS	01622000	1927-01-06	419	A
USGS	01622000	1927-01-07	369	A
USGS	01622000	1927-01-08	334	A
USGS	01622000	1927-01-09	296	A
USGS	01622000	1927-01-10	308	A
USGS	01622000	1927-01-11	265	A
USGS	01622000	1927-01-12	283	A
USGS	01622000	1927-01-13	248	A
USGS	01622000	1927-01-14	283	A
USGS	01622000	1927-01-15	253	A
USGS	01622000	1927-01-16	214	A
USGS	01622000	1927-01-17	277	A
USGS	01622000	1927-01-18	248	A
USGS	01622000	1927-01-19	248	A
USGS	01622000	1927-01-20	248	A
USGS	01622000	1927-01-21	248	A
USGS	01622000	1927-01-22	242	A
USGS	01622000	1927-01-23	225	A
USGS	01622000	1927-01-24	259	A
USGS	01622000	1927-01-25	248	A
USGS	01622000	1927-01-26	271	A
USGS	01622000	1927-01-27	271	A
USGS	01622000	1927-01-28	265	A
USGS	01622000	1927-01-29	296	A
USGS	01622000	1927-01-30	283	A
USGS	01622000	1927-01-31	302	A
USGS	01622000	1927-02-01	308	A
USGS	01622000	1927-02-02	308	A
USGS	01622000	1927-02-03	308	A
USGS	01622000	1927-02-04	290	A
USGS	01622000	1927-02-05	334	A
USGS	01622000	1927-02-06	484	A
USGS	01622000	1927-02-07	610	A
USGS	01622000	1927-02-08	610	A
USGS	01622000	1927-02-09	573	A
USGS	01622000	1927-02-10	521	A
USGS	01622000	1927-02-11	492	A
USGS	01622000	1927-02-12	433	A
USGS	01622000	1927-02-13	376	A
USGS	01622000	1927-02-14	397	A
USGS	01622000	1927-02-15	390	A
