TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170101,0.655,0,167.805,87.703,0,274.786,0,2.457,0,97.545,0,0.461,0,3.347,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,100.836,-9999,-9999,-9999,22.3592,-9999,16.7195,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,4.01413,3.51304,4.00642,4.01295,6.14118,6.234,6.2886,6.49546,0.504776,0.223294,0.368023,0.800349,3.07225,3.02559,3.41813,3.73061,-9999,-9999
20170102,6.703,0,168.431,13.11,0,353.81,0,1.274,0,97.158,0,8.782,0,3.029,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,93.8477,-9999,-9999,-9999,19.7945,-9999,14.992,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,5.38454,4.55454,5.37817,5.38356,7.24596,7.28408,7.33521,7.43872,0.888336,0.377049,0.626369,1.32878,0.580199,0.544222,0.655569,0.719986,-9999,-9999
20170103,-2.294,0,169.114,59.668,0,274.426,0,1.619,0,98.132,0,0.332,0,6.337,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,94.9582,-9999,-9999,-9999,37.3507,-9999,28.5434,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,3.36353,3.01131,3.35539,3.36228,6.1525,5.96969,6.14435,6.28266,0.3448,0.15777,0.262971,0.529164,2.23506,2.17235,2.49325,2.72963,-9999,-9999
20170104,-8.814,0,169.857,105.566,0,231.795,0,1.468,0,98.526,0,1.253,0,3.448,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,103.561,-9999,-9999,-9999,22.3592,-9999,17.2394,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,2.05505,1.96106,2.0472,2.05505,4.1821,4.29215,4.47072,4.82256,0.116273,0.058908,0.101534,0.161454,3.51783,3.4958,3.90697,4.25538,-9999,-9999
20170105,-12.018,0,170.656,98.875,0,226.801,0,0.887,0,98.344,0,1.359,0,4.155,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,96.3605,-9999,-9999,-9999,19.7945,-9999,15.397,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,1.51035,1.4981,1.50532,1.55012,3.37177,3.45911,3.87783,4.23876,0.0605006,0.0297952,0.053478,0.0794541,3.339,3.3099,3.71018,4.04334,-9999,-9999
20170106,-14.494,0,171.513,117.72,0,191.3,0,0.957,0,98.889,0,0,0,2.612,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,97.3228,-9999,-9999,-9999,37.3507,-9999,29.3077,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,1.15441,1.14825,1.15346,1.21579,3.94338,3.96717,4.08191,4.14019,0.0362907,0.0169564,0.0302319,0.0460806,3.82796,3.82128,4.24761,4.62156,-9999,-9999
20170107,-10.633,0,172.428,116.078,0,204.465,0,1.25,0,99.627,0,0,0,2.879,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,105.727,-9999,-9999,-9999,22.3592,-9999,17.619,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,1.78309,1.72052,1.77587,1.80781,3.91013,4.02028,4.1728,4.58685,0.0983148,0.0496214,0.0854741,0.137373,3.80131,3.78992,4.21906,4.5918,-9999,-9999
20170108,-4.901,0,173.399,97.134,0,237.519,0,2.136,0,99.186,0,0,0,4.945,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,98.1049,-9999,-9999,-9999,19.7945,-9999,15.6787,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,2.85789,2.60128,2.84997,2.85667,4.71931,4.86138,5.05837,5.34859,0.261139,0.121438,0.203538,0.394772,3.25817,3.23277,3.61977,3.9441,-9999,-9999
20170109,1.575,0,174.428,95.788,0,265.715,0,2.843,0,97.778,0,0.001,0,5.1,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,99.1198,-9999,-9999,-9999,37.3507,-9999,29.7748,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,4.22221,3.67101,4.21471,4.22105,7.01118,6.62583,7.00367,7.14144,0.564096,0.246979,0.405679,0.903453,3.24553,3.21507,3.60681,3.93134,-9999,-9999
20170110,6.678,0,175.511,101.927,0,278.637,0,3.77,0,96.711,0,0.312,0,6.093,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,107.006,-9999,-9999,-9999,22.3592,-9999,17.7752,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,5.39051,4.55155,5.38437,5.38956,7.51755,7.37592,7.62147,7.68768,0.920691,0.387672,0.65823,1.343,3.43761,3.40827,3.81962,4.16245,-9999,-9999
