"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-01",,,,,,,,"50","29",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-02",,,,,,,,"40","25",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-03",,,,,,,,"55","33",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-04",,,,,,,,"48","27",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-05",,,,,,,,"53","32",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-06",,,,,,,,"48","25",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-07",,,,,,,,"44","25",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-08",,,,,,,,"38","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-09",,,,,,,,"36","29",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-10",,,,,,,,"44","36",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-11",,,,,,,,"45","41",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-12",,,,,,,,"46","40",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-13",,,,,,,,"46","38",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-14",,,,,,,,"47","34",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-15",,,,,,,,"54","41",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-16",,,,,,,,"41","33",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-17",,,,,,,,"43","32",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-18",,,,,,,,"51","32",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-19",,,,,,,,"34","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-20",,,,,,,,"44","25",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-21",,,,,,,,"41","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-22",,,,,,,,"46","29",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-23",,,,,,,,"42","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-24",,,,,,,,"38","22",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-25",,,,,,,,"34","20",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-26",,,,,,,,"40","25",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-27",,,,,,,,"38","18",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-28",,,,,,,,"37","16",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-29",,,,,,,,"47","35",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-30",,,,,,,,"60","37",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-01-31",,,,,,,,"40","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-01",,,,,,,,"38","18",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-02",,,,,,,,"44","31",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-03",,,,,,,,"44","36",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-04",,,,,,,,"36","32",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-05",,,,,,,,"53","36",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-06",,,,,,,,"38","34",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-07",,,,,,,,"55","38",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-08",,,,,,,,"58","32",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-09",,,,,,,,"63","46",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-10",,,,,,,,"61","43",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-11",,,,,,,,"43","40",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-12",,,,,,,,"50","38",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-13",,,,,,,,"47","30",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-14",,,,,,,,"53","25",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-15",,,,,,,,"66","46",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-16",,,,,,,,"51","32",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-17",,,,,,,,"40","34",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-18",,,,,,,,"65","37",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-19",,,,,,,,"54","40",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-20",,,,,,,,"50","38",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-21",,,,,,,,"44","30",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-22",,,,,,,,"40","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-23",,,,,,,,"43","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-24",,,,,,,,"44","21",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-25",,,,,,,,"64","44",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-26",,,,,,,,"54","43",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-27",,,,,,,,"58","38",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-28",,,,,,,,"49","33",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-02-29",,,,,,,,"46","23",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-01",,,,,,,,"60","23",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-02",,,,,,,,"60","48",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-03",,,,,,,,"64","40",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-04",,,,,,,,"61","47",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-05",,,,,,,,"73","37",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-06",,,,,,,,"76","48",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-07",,,,,,,,"74","45",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-08",,,,,,,,"57","35",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-09",,,,,,,,"55","35",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-10",,,,,,,,"65","37",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-11",,,,,,,,"68","51",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-12",,,,,,,,"51","37",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-13",,,,,,,,"38","36",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-14",,,,,,,,"66","37",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-15",,,,,,,,"40","37",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-16",,,,,,,,"40","32",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-17",,,,,,,,"44","28",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-18",,,,,,,,"35","29",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-19",,,,,,,,"41","26",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-20",,,,,,,,"46","23",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-21",,,,,,,,"53","26",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-22",,,,,,,,"59","27",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-23",,,,,,,,"64","39",,,,
"USW00093736","CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US","1956-03-24",,,,,,,,"52","34",,,,
